Image Name,Generated Caption,224x224 Image Path
000001.jpg,"The image shows a person with long, straight, light brown hair, wearing a small earring. The person has a neutral expression, with a slight smile. The face is positioned slightly to the",./experiments/prompt_4/000001.jpg
000002.jpg,"The image shows a person with red hair styled in a high bun, wearing a light-colored top. They have a slight smile, light makeup, and are looking slightly to the side.",./experiments/prompt_4/000002.jpg
000003.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. The person is wearing a dark-colored shirt and has a visible earring. The face is",./experiments/prompt_4/000003.jpg
000004.jpg,"The image shows a person with dark hair styled in a braid, wearing a black top. They have a serious expression, with one eyebrow slightly raised. The person is wearing a necklace and",./experiments/prompt_4/000004.jpg
000005.jpg,"The image shows a person with short, styled hair, a neutral expression, and a slight smile. The face is centered, and the background is a light blue with white letters.",./experiments/prompt_4/000005.jpg
000006.jpg,"The image shows a person with a wavy hairstyle, light brown hair, and a serious expression. They have dark eyes, prominent eyebrows, and are wearing minimal makeup. The face is slightly",./experiments/prompt_4/000006.jpg
000007.jpg,"The image shows a person with short, dark, spiky hair, a slight smile, and a neutral expression. They are wearing a gray shirt and have a slight stubble. The face",./experiments/prompt_4/000007.jpg
000008.jpg,"The image shows a person with short, dark hair, a serious expression, and a slight smile. They are wearing a black suit jacket and a white shirt. The background is black with white",./experiments/prompt_4/000008.jpg
000009.jpg,"The image shows a person with long, dark hair styled in a high ponytail, bangs covering the forehead, and a slight smile. They are wearing gold earrings and a patterned scarf. The face",./experiments/prompt_4/000009.jpg
000010.jpg,"Blonde woman with blue eyes, wavy hair, subtle makeup, slight smile, red dress, dark background, natural lighting.",./experiments/prompt_4/000010.jpg
000011.jpg,"The image shows a person with long, dark hair, a serious expression, and a slight smile. They are wearing a dark top and have a mole on their cheek. The face is centered",./experiments/prompt_4/000011.jpg
000012.jpg,"The image shows a person with short, dark hair, a slight smile, and a light complexion. They are wearing a dark suit jacket and a white shirt. The background is dark.",./experiments/prompt_4/000012.jpg
000013.jpg,"The image shows a person with short, light-colored hair, a slight smile, and a neutral expression. They are wearing a green and yellow sports jacket. The face is centered in the",./experiments/prompt_4/000013.jpg
000014.jpg,"The image shows a person with short, curly hair, a small mole on the left cheek, and a slight smile. They are wearing a gold necklace and a black top. The face is",./experiments/prompt_4/000014.jpg
000015.jpg,"The image shows a person with short, dark hair, a slight smile, and a serious expression. They are wearing a blue suit, white shirt, and black tie. The background is",./experiments/prompt_4/000015.jpg
000016.jpg,"The image shows a man with short, dark hair, a slight smile, and a light stubble beard. He is wearing a dark shirt and has a slight smile. The background is",./experiments/prompt_4/000016.jpg
000017.jpg,"The image shows a person with dark hair tied back, a neutral expression, and a medal on their right ear. The face is centered in the image.",./experiments/prompt_4/000017.jpg
000018.jpg,"Blonde woman with light makeup, smiling, leopard print scarf, earrings, wavy hair, white background, right side of face visible.",./experiments/prompt_4/000018.jpg
000019.jpg,"Blonde hair, neutral expression, no visible accessories, face centered, natural lighting.",./experiments/prompt_4/000019.jpg
000020.jpg,"The person has long, wavy hair, a beard, and a mustache. They are wearing a plaid shirt. The face is slightly tilted, and the background is dark.",./experiments/prompt_4/000020.jpg
000021.jpg,"The image shows a person with short, light brown hair, wearing a dark suit and tie. The person has a slight smile, is looking slightly to the side, and is positioned in a",./experiments/prompt_4/000021.jpg
000022.jpg,"Blonde woman with blue eyes, light makeup, wavy hair, slight smile, green top, left side of face visible, head slightly tilted.",./experiments/prompt_4/000022.jpg
000023.jpg,"The image shows a person with short, dark hair, a slight smile, and a clean-shaven face. They are wearing a blue and yellow racing suit with a logo on the",./experiments/prompt_4/000023.jpg
000024.jpg,"Blonde hair, light makeup, slight smile, earrings, blue and orange background, left side of face.",./experiments/prompt_4/000024.jpg
000025.jpg,"The image shows a man with short, light brown hair, a light beard, and a slight smile. He has a serious expression, and his eyes are looking slightly to the side. He",./experiments/prompt_4/000025.jpg
000026.jpg,"A woman with long dark hair, a serious expression, and a white shirt. She is looking directly at the camera.",./experiments/prompt_4/000026.jpg
000027.jpg,"The image shows a person with long, wavy brown hair, a slight smile, and a red top. The face is slightly tilted, and the background is dark.",./experiments/prompt_4/000027.jpg
000028.jpg,"The image shows a person with light brown hair, smiling, and wearing a purple top. The background is light-colored.",./experiments/prompt_4/000028.jpg
000029.jpg,"Blonde woman with bangs, blue eyes, subtle smile, earrings, black top, left side of face, red and white background.",./experiments/prompt_4/000029.jpg
000030.jpg,"The person has short, light-colored hair, a serious expression, and is looking directly at the camera. The background is wooden.",./experiments/prompt_4/000030.jpg
000031.jpg,"The image shows a person with short, dark hair tied back, a slight smile, and a few freckles on the face. They are wearing a black top with a white logo on the left",./experiments/prompt_4/000031.jpg
000032.jpg,"The person has short, light brown hair, a serious expression, and is wearing a dark suit, white shirt, and red tie. The background is blue with a logo.",./experiments/prompt_4/000032.jpg
000033.jpg,"The image shows a man with short, dark hair, a slight smile, and a slight stubble. He is wearing a black suit jacket and a white shirt. The background has a dark",./experiments/prompt_4/000033.jpg
000034.jpg,"The image shows a person with long, wavy brown hair, a serious expression, and minimal makeup. The face is centered, and the background is plain.",./experiments/prompt_4/000034.jpg
000035.jpg,"The image shows a person with dark hair, a serious expression, and minimal makeup. The hair is styled in loose waves, and the person is wearing a black top. The face is centered",./experiments/prompt_4/000035.jpg
000036.jpg,"The image shows a person with short, dark hair, a light complexion, and a slight smile. They are wearing a white shirt and have a microphone in front of them. The background is",./experiments/prompt_4/000036.jpg
000037.jpg,"The image shows a person with short, dark hair, a beard, and a serious expression. They are wearing a black cap with a logo, a gray shirt, and a black wristband.",./experiments/prompt_4/000037.jpg
000038.jpg,"The image shows a smiling man with short, dark hair, wearing a black shirt. He has a light complexion, a prominent nose, and a slight smile. The background is blurred, and",./experiments/prompt_4/000038.jpg
000039.jpg,"The image shows a person with dark hair, wearing earrings, and a light-colored top. The person is smiling and looking slightly to the side.",./experiments/prompt_4/000039.jpg
000040.jpg,"The image shows a person with dark hair styled in an updo, wearing large, round earrings. The person has a neutral expression, with slightly downcast eyes and a hint of a",./experiments/prompt_4/000040.jpg
000041.jpg,"The image shows a person with long, dark hair styled in a braid, wearing sunglasses on the head. The person has a slight smile, is looking slightly to the side, and is wearing",./experiments/prompt_4/000041.jpg
000042.jpg,"The image shows a person with light brown hair styled in loose waves, wearing a black top. They have a subtle smile, blue eyes, and are wearing earrings. The background is orange with",./experiments/prompt_4/000042.jpg
000043.jpg,"The image shows a person with long, wavy brown hair, wearing gold earrings, and a subtle smile. The face is centered, and the background is light-colored with horizontal lines.",./experiments/prompt_4/000043.jpg
000044.jpg,"The image shows a person with curly hair, wearing a pink top, and holding pink flowers. The person has a neutral expression, with a slight smile, and is looking directly at the",./experiments/prompt_4/000044.jpg
000045.jpg,"The image shows a person with long, wavy brown hair, a warm smile, and a slight smile. They have a nose piercing and are wearing a black top. The face is centered in",./experiments/prompt_4/000045.jpg
000046.jpg,"The image shows a person with short black hair, a slight smile, and minimal makeup. They are wearing a black top and have a black hair accessory. The face is centered in the",./experiments/prompt_4/000046.jpg
000047.jpg,"The image shows a person with long, dark hair, wearing hoop earrings, and a subtle smile. The face is slightly tilted, and the background is plain white.",./experiments/prompt_4/000047.jpg
000048.jpg,"The image shows a person with dark hair, a serious expression, and a slight smile. They are wearing a dark suit and tie, with a dark background.",./experiments/prompt_4/000048.jpg
000049.jpg,"The image shows a middle-aged man with short, light-colored hair, a slight beard, and a serious expression. He is wearing a dark shirt and has a slight stubble.",./experiments/prompt_4/000049.jpg
000050.jpg,"The image shows a smiling man with dark hair, wearing a dark suit and a blue shirt. He has a slight smile, and his eyes are looking directly at the camera. The background is",./experiments/prompt_4/000050.jpg
000051.jpg,"The image shows an elderly man with a bald head, short white hair, and a mustache. He has a slight smile and is wearing a black shirt. The background includes the text 'THE",./experiments/prompt_4/000051.jpg
000052.jpg,"The image shows a person with short, dark hair, a light beard, and a mustache. They have a slight smile, are wearing a black leather jacket, and are looking slightly to the",./experiments/prompt_4/000052.jpg
